Camera_ID,type,Country,State,City,Latitude,Longtitude,Resolution_w,Resolution_h,Ip,Port,Image_path,Video_path,Snapshot_url,m3u8_url,
5b0cfb6f45bb0c0004277f28,ip,US,VA,Blacksburg,37.1791,-80.3515,1280,720,198.82.159.136,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb7145bb0c0004277f2a,ip,US,SC,Rock Hill,34.9926,-81.1787,704,480,199.79.254.179,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb7445bb0c0004277f2d,ip,MX,Null,,19.43,-99.13,640,480,200.36.58.250,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb9445bb0c0004277f4d,ip,JP,Null,,35.69,139.69,640,480,210.155.223.251,80,/SnapshotJPEG?Resolution,/nphMotionJpeg?Resolution,Null,Null,
5b0cfb9745bb0c0004277f50,ip,JP,Null,,35.69,139.69,,,210.237.44.116,80,,/,Null,Null,
5b0cfb9e45bb0c0004277f57,ip,FR,Null,Brest,48.3908,-4.4862,640,480,212.234.116.85,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfba145bb0c0004277f5b,ip,DE,Null,Cloppenburg,52.8475,8.0462,640,480,212.6.91.123,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfba545bb0c0004277f5f,ip,DE,Null,,51,9,640,480,213.135.11.51,80,/record/current.jpg,/cgi-bin/faststream.jpg,Null,Null,
5b0cfba845bb0c0004277f62,ip,CH,Null,Haggenschwil,47.4942,9.3425,768,576,213.196.182.244,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfbb045bb0c0004277f6b,ip,US,AZ,Phoenix,33.7248,-112.089,,,216.119.89.234,80,,/,Null,Null,
5b0cfbc345bb0c0004277f7e,ip,US,AK,Anchorage,61.2181,-149.9,640,480,216.67.98.12,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfbc445bb0c0004277f7f,ip,US,MI,Detroit,42.3314,-83.0457,704,480,216.8.159.21,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfbc945bb0c0004277f84,ip,AT,Null,Vienna,48.2,16.3667,640,480,217.196.77.178,80,/record/current.jpg,/cgi-bin/faststream.jpg,Null,Null,
5b0cfbcb45bb0c0004277f87,ip,DE,Null,,51,9,640,480,217.24.53.18,80,/record/current.jpg,/cgi-bin/faststream.jpg,Null,Null,
5b0cfbcc45bb0c0004277f88,ip,HU,Null,,47,20,,,217.65.97.118,80,,/,Null,Null,
5b0cfbcd45bb0c0004277f89,ip,DE,Null,Essen,51.45,7.0167,704,576,217.78.137.43,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfbd445bb0c0004277f90,ip,JP,Null,,35.69,139.69,,,218.224.118.141,80,,/,Null,Null,
5b0cfbdd45bb0c0004277f99,ip,JP,Null,Tokyo,35.685,139.751,,,220.109.217.98,80,,/,Null,Null,
5b0cfbe345bb0c0004277f9f,ip,US,CA,Angwin,38.5771,-122.441,,,24.104.138.100,80,,/,Null,Null,
5b0cfbe745bb0c0004277fa3,ip,US,MI,Midland,43.7053,-84.2377,704,480,24.180.249.249,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfbf445bb0c0004277fb0,ip,JP,Null,Saga,33.2493,130.299,,,61.7.96.32,80,,/,Null,Null,
5b0cfbfd45bb0c0004277fb8,ip,ES,Null,Bilbao,43.2609,-2.9388,640,480,62.99.76.193,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc0345bb0c0004277fbe,ip,US,CA,Anaheim,33.8502,-117.791,,,64.50.180.138,80,,/,Null,Null,
5b0cfc1245bb0c0004277fce,ip,US,MI,Lansing,42.7257,-84.636,,,67.227.196.234,80,,/,Null,Null,
5b0cfc2b45bb0c0004277fe9,ip,US,ND,Devils Lake,48.1436,-98.8872,800,450,76.10.79.246,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc2d45bb0c0004277feb,ip,NO,Null,Alvdal,62.1167,10.65,704,576,77.106.164.66,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc2f45bb0c0004277fed,ip,CZ,Null,Bystrice Pod Hostynem,49.3996,17.6742,640,480,77.48.31.68,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc3245bb0c0004277ff0,ip,RU,Null,,60,100,768,576,78.85.3.144,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc4845bb0c0004278007,ip,CZ,Null,Trinec,49.6804,18.6653,640,480,80.82.144.83,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc4e45bb0c000427800d,ip,PL,Null,Kielce,50.8333,20.6667,640,480,81.26.28.141,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc4f45bb0c000427800e,ip,SE,Null,Stensele,65.0833,17.1667,640,480,81.8.152.68,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc6e45bb0c000427802e,ip,BG,Null,Burgas,42.5,27.4667,480,360,84.54.139.100,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc7c45bb0c000427803b,ip,DK,Null,Holte,55.8167,12.4667,1920,1080,87.54.59.228,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfc8645bb0c0004278046,ip,RU,Null,,60,100,640,480,91.143.62.11,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfca745bb0c0004278069,ip,US,MA,Boston,42.3451,-71.0993,1280,960,128.197.178.105,80,/SnapshotJPEG?Resolution,/nphMotionJpeg?Resolution,Null,Null,
5b0cfcae45bb0c0004278071,ip,AU,Null,,-27,133,640,480,130.95.52.157,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcb045bb0c0004278073,ip,EE,Null,,59,26,320,240,195.80.101.230,8888,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcb945bb0c000427807c,ip,NO,Null,,62,10,640,480,217.149.125.238,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcba45bb0c000427807d,ip,UA,Null,,49,32,,,82.207.51.146,80,,/,Null,Null,
5b0cfcd845bb0c000427809d,ip,US,MI,Allendale,42.9742,-85.9311,1920,1080,148.61.97.229,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcd945bb0c000427809e,ip,US,MI,Allendale,42.9742,-85.9311,1920,1080,148.61.63.218,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcdb45bb0c00042780a0,ip,DE,Null,Gttingen,51.5333,9.9333,320,240,134.76.205.194,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfce345bb0c00042780a8,ip,NO,Null,,62,10,704,576,217.168.94.131,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfce645bb0c00042780ab,ip,SE,Null,Pajala,67.2,23.3667,800,450,195.196.35.91,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfce745bb0c00042780ac,ip,NO,Null,,62,10,,,193.90.12.77,80,,/,Null,Null,
5b0cfcec45bb0c00042780af,ip,DE,Null,,51,9,800,450,217.91.58.189,1024,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcf545bb0c00042780b8,ip,AT,Null,,47.3333,13.3333,704,576,85.199.1.130,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcfa45bb0c00042780be,ip,US,ND,Devils Lake,48.1436,-98.8872,800,450,69.178.250.15,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfcfc45bb0c00042780c0,ip,,Null,Vancouver,49.2765,-123.218,1280,720,142.103.183.237,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd0f45bb0c00042780d4,ip,US,AK,Fairbanks,64.8378,-147.716,640,480,137.229.93.113,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd1045bb0c00042780d6,ip,FI,Null,,64,26,640,480,194.8.226.46,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd2445bb0c00042780eb,ip,US,CA,Chico,39.7158,-121.815,704,480,208.53.87.199,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
