Camera_ID,Country,State,City,Latitude,Longtitude,Resolution_w,Resolution_h,Ip,Port,Image_path,Video_path
5b0d042845bb0c00042787df,US,ME,44.2618,Farmingdale,-69.8232,640,480,72.95.127.157,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d042645bb0c00042787de,US,TX,32.3046,Andrews,-102.638,640,480,72.48.231.50,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d03cb45bb0c000427878b,US,Null,38,,-97,640,480,67.53.34.94,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d03ab45bb0c000427876c,US,HI,21.9081,Koloa,-159.476,704,480,66.193.157.18,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d038245bb0c0004278742,CA,Null,44.7031,Portland,-76.1805,640,480,64.118.25.194,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d029f45bb0c000427865e,DE,Null,48.8167,Korntal-mnchingen,9.1167,768,576,217.92.73.116,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfa8045bb0c0004277e37,US,WI,Madison,43.0761,-89.4104,1280,720,128.104.181.37,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfa8b45bb0c0004277e43,US,MA,Amherst,42.3804,-72.5231,320,240,128.119.98.19,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfab045bb0c0004277e68,US,WA,Seattle,47.6606,-122.292,640,480,128.208.252.2,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfac045bb0c0004277e79,US,IN,West Lafayette,40.4249,-86.9162,640,480,128.46.190.179,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cface45bb0c0004277e88,US,NH,Hanover,43.7226,-72.1342,640,480,129.170.117.10,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfad245bb0c0004277e8c,DE,Null,Heidelberg,49.4167,8.7,640,360,129.206.127.105,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfad445bb0c0004277e8e,US,MD,College Park,38.8336,-76.8777,2048,1536,129.2.16.181,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfaea45bb0c0004277ea5,US,MD,Hyattsville,39.0007,-76.973,640,480,131.118.33.250,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfaeb45bb0c0004277ea6,AT,Null,Vienna,48.2,16.3667,320,240,131.130.50.123,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
